product_code,name,supplier_display,location,threshold,lead_time_days
5055331304773,BOND Ready-to-Use Primary Antibody Prostatic Acid Phosphatase (PASE/4LJ),Leica,,0,2
5055331325716,BOND Ready-to-Use Primary Antibody CD117 (EP10),Leica,,0,2
5055331320421,Estrogen Receptor Clone 6F11 Ready-To-Use Primary Antibody for BOND,Leica,,0,2
5055331304766,BOND Ready-To-Use Primary Antibody Human Chorionic Gonadotrophin (Polyclonal),Leica,,0,2
5055331329684,BOND Ready-to-Use Primary Antibody p16 (6H12),Leica,,0,2
5055331304759,BOND Ready-To-Use Primary Antibody Mast Cell Tryptase (10D11),Leica,,0,2
5055331321541,BOND Ready-to-Use Primary Antibody Cytokeratin 20 (Ks20.8),Leica,,0,2
5055331304735,BOND Ready-to-Use Primary Antibody Glial Fibrillary Acidic Protein (GA5),Leica,,0,2
5055331319104,BOND Ready-to-Use Primary Antibody Melanoma Marker (HMB45),Leica,,0,2
5055331329714,BOND Ready-to-Use Primary Antibody S-100 (EP32),Leica,,0,2
5055331304728,BOND Ready-to-Use Primary Antibody Desmin (DE-R-11),Leica,,0,2
5055331304704,BOND Ready-to-Use Primary Antibody Epithelial Membrane Antigen (GP1.4),Leica,,0,2
5055331321558,BOND Ready-to-Use Primary Antibody Cytokeratin 20 (Ks20.8),Leica,,0,2
5055331304681,BOND Ready-to-Use Primary Antibody CD45 (X16/99),Leica,,0,2
5055331322494,BOND Ready-to-Use Primary Antibody Melan A (A103),Leica,,0,2
5055331326201,BOND Ready-to-Use Primary Antibody Cyclin D1 (EP12),Leica,,0,2
5055331328311,BOND Ready-to-Use Primary Antibody Human Herpesvirus (Type 8),Leica,,0,2
5055331328205,BOND Ready-to-Use Primary Antibody Muc-1 Glycoprotein (Ma695),Leica,,0,2
5055331328212,BOND Ready-to-Use Primary Antibody Muc-5AC Glycoprotein (CLH2),Leica,,0,2
5055331328304,BOND Ready-to-Use Primary Antibody Muc-6 Glycoprotein (CLH5),Leica,,0,2
5055331326027,BOND Ready-to-Use Primary Antibody von Willebrand Factor (36B11),Leica,,0,2
5055331304667,BOND Ready-to-Use Primary Antibody p53 (DO-7),Leica,,0,2
5055331325709,BOND Ready-to-Use Primary Antibody Immunoglobulin D (DRN1C),Leica,,0,2
5055331326485,BOND Ready-to-Use Primary Antibody Napsin A (IP64),Leica,,0,2
5055331304650,BOND Ready-to-Use Primary Antibody Cytokeratin 8/18 (5D3),Leica,,0,2
5055331320407,BOND Ready-to-Use Primary Antibody Cytokeratin 14 (LL002),Leica,,0,2
5055331318039,BOND Ready-to-Use Primary Antibody Beta-Catenin (17C2),Leica,,0,2
5055331304643,BOND Ready-to-Use Primary Antibody CD138 (MI15),Leica,,0,2
5055331325600,BOND Ready-to-Use Primary Antibody CD163 (10D6),Leica,,0,2
5055331318008,BOND Ready-to-Use Primary Antibody Tartrate-Resistant Acid Phosphatase (26E5),Leica,,0,2
5055331328335,BOND Ready-to-Use Primary Antibody Cytokeratin (AE1/AE3),Leica,,0,2
5055331321565,BOND Ready-to-Use Primary Antibody p63 (7JUL),Leica,,0,2
5055331318022,BOND Ready-to-Use Primary Antibody Cytokeratin 17 (E3),Leica,,0,2
5055331304612,BOND Ready-to-Use Primary Antibody Bcl-2 (bcl-2/100/D5),Leica,,0,2
5055331304605,BOND Ready-to-Use Primary Antibody Ki67 (MM1),Leica,,0,2
5055331322500,BOND Ready-to-Use Primary Antibody CD3 (LN10),Leica,,0,2
5055331318015,BOND Ready-to-Use Primary Antibody Multiple Myeloma Oncogene 1 (MUM1) (EAU32),Leica,,0,2
5055331323927,BOND Ready-to-Use Primary Antibody CD10 (56C6),Leica,,0,2
5055331304599,BOND Ready-to-Use Primary Antibody Cytokeratin HMW (34βE12),Leica,,0,2
5055331320414,BOND Ready-to-Use Primary Antibody Cytokeratin 7 (RN7),Leica,,0,2
5055331304582,BOND Ready-To-Use Primary Antibody CD45RO (UCHL1),Leica,,0,2
5055331304575,Estrogen Receptor Clone 6F11 Ready-To-Use Primary Antibody for BOND,Leica,,0,2
5055331325921,BOND Ready-to-Use Primary Antibody Muc-2 (Ccp58),Leica,,0,2
5055331304551,BOND Ready-to-Use Primary Antibody Placental Alkaline Phosphatase (8A9),Leica,,0,2
5055331326515,BOND Ready-to-Use Primary Antibody p40 (BC28),Leica,,0,2
5055331304544,BOND Ready-to-Use Primary Antibody CD5 (4C7),Leica,,0,2
5055331304537,BOND Ready-to-Use Primary Antibody CD23 (1B12),Leica,,0,2
5055331304520,BOND Ready-to-Use Primary Antibody CD21 (2G9),Leica,,0,2
5055331331199,BOND Ready-to-Use Primary Antibody CTLA-4 (CAL49),Leica,,0,2
